Ref;Localite;Pays;ID;Source;Sondes;StructureEn;StructureFr;Isolation;CombWood;CombBark;CombLeaves;CombStraw;CombGrass;CombReed;CombPalmFronds;CombPalmLeaves;CombPalmNuts;CombRiceHusks;CombMilletHusks;CombMilletStems;CombBalesSorghum;CombCornStalks;CombSawdust;CombCharcoal;CombKerozene;CombDung;NbPots;Diametre;Hauteur;Interruption;PostCuisson;Duree;TMin;TMoy;TMax;VChauffe;D700;D800;D900;D1000
62;Nanou 2;Burkina Faso;NON.07;Ceramic & Society;9;Bonefire;meule;Light;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2,3;0,8;+;Sm,Sp,So;44;602;689;785;31;3;0;0;0
63;Sinthiou Gar;Sénégal;-;Gelbert 1995;6;Bonefire;meule;Light;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;80;650;746;926;20;14;4;2;0
64;-;Afrique du Sud;Thelma;Krauze 1985, p. 123;2;Bonefire;meule;Light;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1,5;0,6;0;0;135;505;568;630;19;0;0;0;0
65;Badkha;Inde;KHA.00;Degoy 1997;10;Bonefire;meule;Heavy;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;500;4,5;1,5;0;0;1155;707;829;904;2;117;60;6;0
66;Pachpadra;Inde;PAD.00;Degoy 1997;10;Bonefire;meule;Heavy;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;500;5;1,5;0;0;188;857;915;956;7;76;51;14;0
67;Diatang 2;Sénégal;DYG.00;Sall 1997;6;Pit;fosse;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;3;1,4;0;0;550;685;866;972;3;100;51;13;0
68;-;Afrique du Sud;Emma;Krauze 1985, p. 123;2;Pit;fosse;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;40;3;1,1;0;0;360(+);550;625;700;4;0;0;0;0
69;Kadedere;Namibie;-;Woods 1984;1;Pit;fosse;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;150(+);0;856;0;12;64;34;0;0
70;Beka;Cameroun;BEK.01;Ceramic & Society;6;Pit;fosse;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;1;0,6;0;0;58;786;831;913;22;28;10;3;0
71;Komargou;Burkina Faso;ARG.01;Ceramic & Society;9;Pit;fosse;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;32;1,6;0,6;0;0;453;604;838;987;2;64;38;11;0
72;Sissis;Sénégal;SIS.01;Sall 1996;6;Pit;fosse;Heavy;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;5;2,3;1,1;0;0;360;580;743;870;6;10;4;0;0
73;Nanergou;Togo;NAN.02;Ceramic & Society;8;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;2,3;1;0;0;39;642;759;918;38;6;2;0;0
74;Sibortoti;Togo;SIB.01;Ceramic & Society;9;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;1,5;1;0;0;46;604;734;868;31;9;2;0;0
75;Zagtouli;Burkina Faso;ZAG.01;Ceramic & Society;7;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;45;2,1;1,1;0;0;81;812;957;1074;15;33;22;12;4
76;Deir el-Ghar;Égypte;Firing 2;Nicholson & Paterson 1989, p. 79;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;627;4,5;3,4;0;0;192;0;690;0;4;0;0;0;0
77;Deir el-Ghar;Égypte;Firing 1;Nicholson & Paterson 1989, p. 79;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;625;4,5;3,4;0;0;183(200);850;853;855;5;62;44;0;0
78;Atzompa;Mexique;-;Shepard 1977, p. 7;1;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;50;0;905;0;18;32;20;5;0
79;Coyotepec;Mexique;-;Shepard 1977, p. 13;1;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Special;Special;240;0;660;0;3;0;0;0;0
80;Basni;Inde;BAS.00;Degoy 1997;8;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;55;1,2;1,6;0;0;81;669;804;879;19;9;3;0;0
81;0;Nigeria;A;Nicklin 1981, p. 352-353;1;Open firing;meule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;940;0;52,2222222222222;0;0;0;0
82;0;Nigeria;B;Nicklin 1981, p. 352-353;1;Open firing;meule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;790;0;31,6;0;0;0;0
83;0;Zaïre;0;Kanimba & Bellomo 1990;1;Open firing;meule;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;850;0;42,5;0;0;0;0
84;0;Nouvelle Guinée;0;Irwin 1977;0;Open firing;meule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
85;0;Nouvelle Guinée;0;Lauer 1974;0;Open firing;meule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
86;0;Nouvelle Guinée;0;Lauer 1974;0;Open firing;meule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
87;0;Palestine;0;Rye 1981;3;Open firing;meule;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;500;627,5;755;34,8611111111111;0;0;0;0
88;0;USA;0;Colton 1951;0;Open firing;meule;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
89;0;Soudan;1;Tobert 1984a;0;Pit;fosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
90;0;Soudan;2;Tobert 1984a;0;Pit;fosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
